?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/WBls_0000038>	<http://www.w3.org/2000/01/rdf-schema#label>	"L4 larva Ce"	
<http://purl.obolibrary.org/obo/WBls_0000813>	<http://www.w3.org/2000/01/rdf-schema#label>	"C. elegans life stage occurring during blastula embryo"@en	
<http://purl.obolibrary.org/obo/WBls_0000678>	<http://www.w3.org/2000/01/rdf-schema#label>	"Strongyloides parasitic stage"	
<http://purl.obolibrary.org/obo/WBls_0000671>	<http://www.w3.org/2000/01/rdf-schema#label>	"7-days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000143>	<http://www.w3.org/2000/01/rdf-schema#label>	"32 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000068>	<http://www.w3.org/2000/01/rdf-schema#label>	"5-days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000181>	<http://www.w3.org/2000/01/rdf-schema#label>	"70 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000409>	<http://www.w3.org/2000/01/rdf-schema#label>	"298 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000360>	<http://www.w3.org/2000/01/rdf-schema#label>	"249 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000447>	<http://www.w3.org/2000/01/rdf-schema#label>	"336 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000285>	<http://www.w3.org/2000/01/rdf-schema#label>	"174 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000558>	<http://www.w3.org/2000/01/rdf-schema#label>	"447 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000807>	<http://www.w3.org/2000/01/rdf-schema#label>	"C. elegans life stage occurring during 2-fold embryo"@en	
<http://purl.obolibrary.org/obo/WBls_0000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"L2d-L3 lethargus Ce"	
<http://purl.obolibrary.org/obo/WBls_0000277>	<http://www.w3.org/2000/01/rdf-schema#label>	"166 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000216>	<http://www.w3.org/2000/01/rdf-schema#label>	"105 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000494>	<http://www.w3.org/2000/01/rdf-schema#label>	"383 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000574>	<http://www.w3.org/2000/01/rdf-schema#label>	"463 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000439>	<http://www.w3.org/2000/01/rdf-schema#label>	"328 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000390>	<http://www.w3.org/2000/01/rdf-schema#label>	"279 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000656>	<http://www.w3.org/2000/01/rdf-schema#label>	"545 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000208>	<http://www.w3.org/2000/01/rdf-schema#label>	"97 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000046>	<http://www.w3.org/2000/01/rdf-schema#label>	"L2d larva Ce"	
<http://purl.obolibrary.org/obo/WBls_0000425>	<http://www.w3.org/2000/01/rdf-schema#label>	"314 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000263>	<http://www.w3.org/2000/01/rdf-schema#label>	"152 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000826>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete set of worm life stages"@en	
<http://purl.obolibrary.org/obo/WBls_0000812>	<http://www.w3.org/2000/01/rdf-schema#label>	"C. elegans life stage occurring during proliferating embryo"@en	
<http://purl.obolibrary.org/obo/WBls_0000067>	<http://www.w3.org/2000/01/rdf-schema#label>	"4-days post-L4 adult hermaphrodite Ce"	
